epoch,accuracy,loss,val_accuracy,val_loss
0,0.24204544723033905,52.869728088378906,0.1388888955116272,47.307003021240234
1,0.25,46.73705291748047,0.1388888955116272,47.24860763549805
2,0.28125,44.95928192138672,0.1388888955116272,39.929290771484375
3,0.25,39.809112548828125,0.1388888955116272,39.81987380981445
4,0.3272727131843567,37.837318420410156,0.14351852238178253,36.241512298583984
5,0.25,36.30888748168945,0.14351852238178253,36.235870361328125
6,0.3499999940395355,33.89238357543945,0.1388888955116272,30.190059661865234
7,0.5,31.592063903808594,0.5625,30.10731315612793
8,0.3380681872367859,28.083303451538086,0.14351852238178253,25.91292381286621
9,0.0,25.836956024169922,0.14351852238178253,25.853591918945312
10,0.39261364936828613,24.904924392700195,0.5208333134651184,23.89348602294922
11,0.25,24.725055694580078,0.5185185074806213,23.88614273071289
12,0.4107954502105713,23.7783145904541,0.2708333432674408,23.202743530273438
13,0.25,22.60923957824707,0.27314814925193787,23.16593360900879
14,0.3647727370262146,21.52197265625,0.2708333432674408,19.74608612060547
15,0.25,18.975540161132812,0.2777777910232544,19.70547866821289
16,0.3693181872367859,18.749591827392578,0.5578703880310059,17.356101989746094
17,0.25,19.029212951660156,0.5370370149612427,17.360483169555664
18,0.4232954680919647,16.916879653930664,0.5717592835426331,15.810935020446777
19,0.25,16.8850154876709,0.5763888955116272,15.809037208557129
20,0.4420454502105713,15.558432579040527,0.6134259104728699,14.443784713745117
21,0.25,17.50918197631836,0.6087962985038757,14.42496109008789
22,0.478409081697464,14.510420799255371,0.6712962985038757,13.68913459777832
23,0.0,16.490951538085938,0.6712962985038757,13.685318946838379
24,0.48238635063171387,13.945704460144043,0.6689814925193787,13.27774715423584
25,0.5,15.338844299316406,0.6689814925193787,13.274113655090332
26,0.5159090757369995,13.643282890319824,0.6828703880310059,13.167081832885742
27,0.5,14.166380882263184,0.6828703880310059,13.206182479858398
28,0.46136364340782166,13.759653091430664,0.6620370149612427,12.523429870605469
29,0.5,12.446752548217773,0.6666666865348816,12.513869285583496
